id,city,title,company,money
295,上海,python后端开发工程师,赢谊科技,17500
296,上海,Python Web工程师,担路网,11500
297,上海,python后端开发工程师,Flexiv Robotics,22500
298,上海,python算法工程师,上海江煦信息科技,11500
299,上海,Python 工程师,贞历,11500
300,上海,python开发工程师,西部证券,20000
301,深圳,Python开发工程师-金融业务,Shopee,25000
302,深圳,Python 工程师,AfterShip,17500
303,深圳,python后台开发工程师（风控方向）(J10797),AKULAKU,25000
304,深圳,高级 Python 工程师,AfterShip,30000
305,深圳,Python 工程师（数据平台方向）,一面数据,15000
306,深圳,Python爬虫工程师,一面数据,15000
307,深圳,python开发工程师,普特生物医学,16500
308,深圳,python开发工程师,盛迪嘉支付,20000
309,深圳,全栈开发工程师（偏PYTHON后端）,金证股份,20000
310,深圳,python开发工程师,威尔视觉,26500
311,深圳,资讯与社区-Python后台开发工程师,富途,22500
312,深圳,银行业务后台开发工程师-Python,富途,21000
313,深圳,高级python工程师,美图公司,22500
314,深圳,Python开发工程师---0401,视野金融,20000
315,深圳,Python后台开发工程师,小步网络,22500
316,深圳,python后端开发工程师,十方融海集团,10000
317,深圳,python开发工程师,博悦科创,12500
318,深圳,python后端开发工程师,阿卡索外教网,22500
319,深圳,python开发工程师,茂源资本,26500
320,深圳,python高级开发工程师,茂源资本,30000
321,深圳,Python开发工程师 (MJ000111),MICO,20000
322,深圳,python web开发工程师,傲冠软件,15000
323,深圳,招Python开发工程师,博悦科创,12000
324,深圳,Python开发工程师,光逸,17500
325,深圳,python开发工程师,维堰服务,11500
326,深圳,Python开发工程师,金蝶账无忧,15000
327,深圳,全栈开发工程师（偏PYTHON后端）,金证股份,10000
328,深圳,python后台开发工程师,万科,22500
329,深圳,python工程师,畅销家,18000
330,深圳,python开发工程师,创想三维,17500
331,深圳,Python后台开发工程师,松茂科技,16000
332,深圳,python工程师,紫川软件,16000
333,深圳,python开发工程师,深信服科技集团,22500
334,深圳,python开发工程师,易博天下,25500
335,深圳,python爬虫工程师,慧科讯业,20000
336,深圳,Python后台开发工程师,立新出行,22500
337,深圳,Python高级开发/爬虫工程师,深圳华秋电子有限公司,16500
338,深圳,Python后端开发工程师,Gridsum 国双,22500
339,深圳,python爬虫工程师,世嘉传媒,20000
340,深圳,Python 开发工程师,永安在线,12500
341,深圳,高级python开发工程师,和美信息,21500
342,深圳,Python开发工程师,看到科技,12500
343,深圳,Python开发工程师,数池科技,16500
344,深圳,python开发工程师,数池科技,16500
345,深圳,高级Python工程师,OPPO,30000
346,深圳,Python服务器开发工程师,深圳市木能科技有限公司,11500
347,深圳,高级Python开发工程师:,深圳市木能科技有限公司,20000
348,深圳,python后台开发工程师,悦动,20000
